date,product,product encoded,market,size,price
43467.00,"Altan Taria Packaged Flour, High Grade",0,Nomin,kg,1450
43467.00,"Altan Taria Packaged Flour, High Grade",0,Orgil,kg,1340
43467.00,"Altan Taria Packaged Flour, High Grade",0,Sansar,kg,1330
43467.00,"Altan Taria Packaged Flour, High Grade",0,Saruul,kg,
43467.00,"Altan Taria Packaged Flour, High Grade",0,Tavan Erdene,kg,1300
43467.00,"Altan Taria Packaged Flour, Top Grade",0,Bars,kg,1700
43467.00,"Altan Taria Packaged Flour, Top Grade",0,Bayanzurkh,kg,1700
43467.00,"Altan Taria Packaged Flour, Top Grade",0,Bumbugur,kg,1750
43467.00,"Altan Taria Packaged Flour, Top Grade",0,Emart,kg,1860
43467.00,"Altan Taria Packaged Flour, Top Grade",0,Kharkhorin,kg,1700
43467.00,"Altan Taria Packaged Flour, Top Grade",0,Khuchit Shonkhor,kg,1850
43467.00,"Altan Taria Packaged Flour, Top Grade",0,Max/M Mart,kg,1780
43467.00,"Altan Taria Packaged Flour, Top Grade",0,Mercury/Ikh Nayad,kg,1800
43467.00,"Altan Taria Packaged Flour, Top Grade",0,Nomin,kg,1799
43467.00,"Altan Taria Packaged Flour, Top Grade",0,Orgil,kg,1780
43467.00,"Altan Taria Packaged Flour, Top Grade",0,Sansar,kg,1750
43467.00,"Altan Taria Packaged Flour, Top Grade",0,Saruul,kg,
43467.00,"Altan Taria Packaged Flour, Top Grade",0,Tavan Erdene,kg,1700
43467.00,"Apple, Fuji",0,Bars,kg,4000
43467.00,"Apple, Fuji",0,Bayanzurkh,kg,4500
43467.00,"Apple, Fuji",0,Bumbugur,kg,4500
43467.00,"Apple, Fuji",0,Emart,kg,
43467.00,"Apple, Fuji",0,Kharkhorin,kg,4000
43467.00,"Apple, Fuji",0,Khuchit Shonkhor,kg,4000
43467.00,"Apple, Fuji",0,Max/M Mart,kg,4500
43467.00,"Apple, Fuji",0,Mercury/Ikh Nayad,kg,
43467.00,"Apple, Fuji",0,Nomin,kg,4199
43467.00,"Apple, Fuji",0,Orgil,kg,4800
43467.00,"Apple, Fuji",0,Sansar,kg,4500
43467.00,"Apple, Fuji",0,Saruul,kg,
43467.00,"Apple, Fuji",0,Tavan Erdene,kg,4500
43467.00,Atar Brand Bread,0,Bars,each,1200
43467.00,Atar Brand Bread,0,Bayanzurkh,each,1200
43467.00,Atar Brand Bread,0,Bumbugur,each,1200
43467.00,Atar Brand Bread,0,Emart,each,1310
43467.00,Atar Brand Bread,0,Kharkhorin,each,1200
43467.00,Atar Brand Bread,0,Khuchit Shonkhor,each,1250
43467.00,Atar Brand Bread,0,Max/M Mart,each,1310
43467.00,Atar Brand Bread,0,Mercury/Ikh Nayad,each,1300
43467.00,Atar Brand Bread,0,Nomin,each,1239
43467.00,Atar Brand Bread,0,Orgil,each,1240
43467.00,Atar Brand Bread,0,Sansar,each,1320
43467.00,Atar Brand Bread,0,Saruul,each,
43467.00,Atar Brand Bread,0,Tavan Erdene,each,1250
43467.00,Beef Boneless,0,Bars,kg,10000
43467.00,Beef Boneless,0,Bayanzurkh,kg,10000
43467.00,Beef Boneless,0,Bumbugur,kg,10000
43467.00,Beef Boneless,0,Emart,kg,10200
43467.00,Beef Boneless,0,Kharkhorin,kg,9500
43467.00,Beef Boneless,0,Khuchit Shonkhor,kg,10000
43467.00,Beef Boneless,0,Max/M Mart,kg,10500
43467.00,Beef Boneless,0,Mercury/Ikh Nayad,kg,12000
43467.00,Beef Boneless,0,Nomin,kg,10299
43467.00,Beef Boneless,0,Orgil,kg,
43467.00,Beef Boneless,0,Sansar,kg,
43467.00,Beef Boneless,0,Saruul,kg,
43467.00,Beef Boneless,0,Tavan Erdene,kg,10500
43467.00,Beef w/Bones,0,Bars,kg,8500
43467.00,Beef w/Bones,0,Bayanzurkh,kg,8000
43467.00,Beef w/Bones,0,Bumbugur,kg,8500
43467.00,Beef w/Bones,0,Emart,kg,8900
43467.00,Beef w/Bones,0,Kharkhorin,kg,7500
43467.00,Beef w/Bones,0,Khuchit Shonkhor,kg,8500
43467.00,Beef w/Bones,0,Max/M Mart,kg,
43467.00,Beef w/Bones,0,Mercury/Ikh Nayad,kg,9500
43467.00,Beef w/Bones,0,Nomin,kg,9299
43467.00,Beef w/Bones,0,Orgil,kg,
43467.00,Beef w/Bones,0,Sansar,kg,
43467.00,Beef w/Bones,0,Saruul,kg,
43467.00,Beef w/Bones,0,Tavan Erdene,kg,8500
43467.00,"Beet, Mongolian",0,Bars,kg,1200
43467.00,"Beet, Mongolian",0,Bayanzurkh,kg,1500
43467.00,"Beet, Mongolian",0,Bumbugur,kg,1500
43467.00,"Beet, Mongolian",0,Emart,kg,
43467.00,"Beet, Mongolian",0,Kharkhorin,kg,1200
43467.00,"Beet, Mongolian",0,Khuchit Shonkhor,kg,1200
43467.00,"Beet, Mongolian",0,Max/M Mart,kg,
43467.00,"Beet, Mongolian",0,Mercury/Ikh Nayad,kg,1500
43467.00,"Beet, Mongolian",0,Nomin,kg,1499
43467.00,"Beet, Mongolian",0,Orgil,kg,
43467.00,"Beet, Mongolian",0,Sansar,kg,
43467.00,"Beet, Mongolian",0,Saruul,kg,
43467.00,"Beet, Mongolian",0,Tavan Erdene,kg,1500
43467.00,Brown Bread,0,Bars,300 g,900
43467.00,Brown Bread,0,Bayanzurkh,300 g,950
43467.00,Brown Bread,0,Bumbugur,300 g,850
43467.00,Brown Bread,0,Emart,300 g,990
43467.00,Brown Bread,0,Kharkhorin,300 g,900
43467.00,Brown Bread,0,Khuchit Shonkhor,300 g,950
43467.00,Brown Bread,0,Max/M Mart,300 g,1040
43467.00,Brown Bread,0,Mercury/Ikh Nayad,300 g,1000
43467.00,Brown Bread,0,Nomin,300 g,969
43467.00,Brown Bread,0,Orgil,300 g,1020
43467.00,Brown Bread,0,Sansar,300 g,980
43467.00,Brown Bread,0,Saruul,300 g,
43467.00,Brown Bread,0,Tavan Erdene,300 g,950
43467.00,"Butter, Suu LTD",0,Bars,kg,4200
43467.00,"Butter, Suu LTD",0,Bayanzurkh,kg,4200
43467.00,"Butter, Suu LTD",0,Bumbugur,kg,
43467.00,"Butter, Suu LTD",0,Emart,kg,
43467.00,"Butter, Suu LTD",0,Kharkhorin,kg,
43467.00,"Butter, Suu LTD",0,Khuchit Shonkhor,kg,4500
43467.00,"Butter, Suu LTD",0,Max/M Mart,kg,4290
43467.00,"Butter, Suu LTD",0,Mercury/Ikh Nayad,kg,
43467.00,"Butter, Suu LTD",0,Nomin,kg,
43467.00,"Butter, Suu LTD",0,Orgil,kg,
43467.00,"Butter, Suu LTD",0,Sansar,kg,
43467.00,"Butter, Suu LTD",0,Saruul,kg,
43467.00,"Butter, Suu LTD",0,Tavan Erdene,kg,
43467.00,"Cabbage, Mongolian",0,Bars,kg,900
43467.00,"Cabbage, Mongolian",0,Bayanzurkh,kg,800
43467.00,"Cabbage, Mongolian",0,Bumbugur,kg,1000
43467.00,"Cabbage, Mongolian",0,Emart,kg,790
43467.00,"Cabbage, Mongolian",0,Kharkhorin,kg,700
43467.00,"Cabbage, Mongolian",0,Khuchit Shonkhor,kg,1000
43467.00,"Cabbage, Mongolian",0,Max/M Mart,kg,1440
43467.00,"Cabbage, Mongolian",0,Mercury/Ikh Nayad,kg,1000
43467.00,"Cabbage, Mongolian",0,Nomin,kg,1399
43467.00,"Cabbage, Mongolian",0,Orgil,kg,1499
43467.00,"Cabbage, Mongolian",0,Sansar,kg,1470
43467.00,"Cabbage, Mongolian",0,Saruul,kg,
43467.00,"Cabbage, Mongolian",0,Tavan Erdene,kg,900
43467.00,"Carrot, Mongolian",0,Bars,kg,900
43467.00,"Carrot, Mongolian",0,Bayanzurkh,kg,900
43467.00,"Carrot, Mongolian",0,Bumbugur,kg,1000
43467.00,"Carrot, Mongolian",0,Emart,kg,1360
43467.00,"Carrot, Mongolian",0,Kharkhorin,kg,1000
43467.00,"Carrot, Mongolian",0,Khuchit Shonkhor,kg,900
43467.00,"Carrot, Mongolian",0,Max/M Mart,kg,1199
43467.00,"Carrot, Mongolian",0,Mercury/Ikh Nayad,kg,1200
43467.00,"Carrot, Mongolian",0,Nomin,kg,1249
43467.00,"Carrot, Mongolian",0,Orgil,kg,1299
43467.00,"Carrot, Mongolian",0,Sansar,kg,999
43467.00,"Carrot, Mongolian",0,Saruul,kg,
43467.00,"Carrot, Mongolian",0,Tavan Erdene,kg,1000
43467.00,"Egg, Russian",0,Bars,each,280
43467.00,"Egg, Russian",0,Bayanzurkh,each,280
43467.00,"Egg, Russian",0,Bumbugur,each,280
43467.00,"Egg, Russian",0,Emart,each,400
43467.00,"Egg, Russian",0,Kharkhorin,each,300
43467.00,"Egg, Russian",0,Khuchit Shonkhor,each,280
43467.00,"Egg, Russian",0,Max/M Mart,each,375
43467.00,"Egg, Russian",0,Mercury/Ikh Nayad,each,350
43467.00,"Egg, Russian",0,Nomin,each,390
43467.00,"Egg, Russian",0,Orgil,each,380
43467.00,"Egg, Russian",0,Sansar,each,340
43467.00,"Egg, Russian",0,Saruul,each,
43467.00,"Egg, Russian",0,Tavan Erdene,each,310
43467.00,Goat Meat w/Bones,0,Bars,kg,
43467.00,Goat Meat w/Bones,0,Bayanzurkh,kg,
43467.00,Goat Meat w/Bones,0,Bumbugur,kg,
43467.00,Goat Meat w/Bones,0,Emart,kg,
43467.00,Goat Meat w/Bones,0,Kharkhorin,kg,5500
43467.00,Goat Meat w/Bones,0,Khuchit Shonkhor,kg,5800
43467.00,Goat Meat w/Bones,0,Max/M Mart,kg,
43467.00,Goat Meat w/Bones,0,Mercury/Ikh Nayad,kg,
43467.00,Goat Meat w/Bones,0,Nomin,kg,
43467.00,Goat Meat w/Bones,0,Orgil,kg,
43467.00,Goat Meat w/Bones,0,Sansar,kg,
43467.00,Goat Meat w/Bones,0,Saruul,kg,
43467.00,Goat Meat w/Bones,0,Tavan Erdene,kg,
43467.00,"Gree Tea, Georgia",0,Bars,kg,1500
43467.00,"Gree Tea, Georgia",0,Bayanzurkh,kg,1500
43467.00,"Gree Tea, Georgia",0,Bumbugur,kg,1500
43467.00,"Gree Tea, Georgia",0,Emart,kg,1520
43467.00,"Gree Tea, Georgia",0,Kharkhorin,kg,1500
43467.00,"Gree Tea, Georgia",0,Khuchit Shonkhor,kg,1500
43467.00,"Gree Tea, Georgia",0,Max/M Mart,kg,1540
43467.00,"Gree Tea, Georgia",0,Mercury/Ikh Nayad,kg,
43467.00,"Gree Tea, Georgia",0,Nomin,kg,1599
43467.00,"Gree Tea, Georgia",0,Orgil,kg,1530
43467.00,"Gree Tea, Georgia",0,Sansar,kg,1550
43467.00,"Gree Tea, Georgia",0,Saruul,kg,
43467.00,"Gree Tea, Georgia",0,Tavan Erdene,kg,1500
43467.00,Horse Meat w/Bones,0,Bars,kg,
43467.00,Horse Meat w/Bones,0,Bayanzurkh,kg,6500
43467.00,Horse Meat w/Bones,0,Bumbugur,kg,6500
43467.00,Horse Meat w/Bones,0,Emart,kg,
43467.00,Horse Meat w/Bones,0,Kharkhorin,kg,6300
43467.00,Horse Meat w/Bones,0,Khuchit Shonkhor,kg,6800
43467.00,Horse Meat w/Bones,0,Max/M Mart,kg,
43467.00,Horse Meat w/Bones,0,Mercury/Ikh Nayad,kg,
43467.00,Horse Meat w/Bones,0,Nomin,kg,
43467.00,Horse Meat w/Bones,0,Orgil,kg,
43467.00,Horse Meat w/Bones,0,Sansar,kg,
43467.00,Horse Meat w/Bones,0,Saruul,kg,
43467.00,Horse Meat w/Bones,0,Tavan Erdene,kg,
43467.00,"Milk, Bulk",0,Bars,liter,
43467.00,"Milk, Bulk",0,Bayanzurkh,liter,
43467.00,"Milk, Bulk",0,Bumbugur,liter,
43467.00,"Milk, Bulk",0,Emart,liter,
43467.00,"Milk, Bulk",0,Kharkhorin,liter,1800
43467.00,"Milk, Bulk",0,Khuchit Shonkhor,liter,
43467.00,"Milk, Bulk",0,Max/M Mart,liter,
43467.00,"Milk, Bulk",0,Mercury/Ikh Nayad,liter,
43467.00,"Milk, Bulk",0,Nomin,liter,
43467.00,"Milk, Bulk",0,Orgil,liter,
43467.00,"Milk, Bulk",0,Sansar,liter,
43467.00,"Milk, Bulk",0,Saruul,liter,
43467.00,"Milk, Bulk",0,Tavan Erdene,liter,2000
43467.00,Mutton Boneless,0,Bars,kg,7500
43467.00,Mutton Boneless,0,Bayanzurkh,kg,7000
43467.00,Mutton Boneless,0,Bumbugur,kg,7500
43467.00,Mutton Boneless,0,Emart,kg,
43467.00,Mutton Boneless,0,Kharkhorin,kg,6500
43467.00,Mutton Boneless,0,Khuchit Shonkhor,kg,7000
43467.00,Mutton Boneless,0,Max/M Mart,kg,8100
